RSTB-RXN RSTA-RXN
RXN-11484 RXN0-1130
RXN-11484 ACP-S-ACETYLTRANSFER-RXN
RXN-11484 RXN-9549
RXN-11484 UDPNACETYLGLUCOSAMACYLTRANS-RXN
RXN-11484 3.1.4.14-RXN
RXN-11484 MALONYL-COA-ACP-TRANSACYL-RXN
RXN-11484 DAPASYN-RXN
RXN-11483 TRANS-RXN0-459
RXN-11483 RXN-11484
P-PANTOCYSLIG-RXN RXN0-5128
P-PANTOCYSLIG-RXN RXN-11832
P-PANTOCYSLIG-RXN PHOSPHAGLYPSYN-RXN
P-PANTOCYSLIG-RXN PHOSPHASERSYN-RXN
P-PANTOCYSLIG-RXN KDOTRANS2-RXN
P-PANTOCYSLIG-RXN CDPDIGLYPYPHOSPHA-RXN
P-PANTOCYSLIG-RXN RXN0-383
P-PANTOCYSLIG-RXN P-PANTOCYSDECARB-RXN
P-PANTOCYSLIG-RXN KDOTRANS-RXN
P-PANTOCYSLIG-RXN RXN-12198
RXN-11482 RXN-11483
RXN-11481 RXN-11482
RHAMNULOKIN-RXN RHAMNULPALDOL-RXN
MALTODEG-RXN MALTACETYLTRAN-RXN
MALTODEG-RXN ALDOSE-1-EPIMERASE-RXN
MALTODEG-RXN RXN-12402
MALTODEG-RXN GLUCDEHYDROG-RXN
MALTODEG-RXN 3.2.1.21-RXN
MALTODEG-RXN ABC-16-RXN
MALTODEG-RXN GLUCOKIN-RXN
MALTODEG-RXN RXN0-1741
MALTODEG-RXN RXN0-6372
MALTODEG-RXN RXN0-6373
MALTODEG-RXN AMYLOMALT-RXN
MALTODEG-RXN TRANS-RXN-157
MALTODEG-RXN RXN0-6418
TRANS-RXN-241 RXN0-5382
TRANS-RXN-241 TRANS-RXN0-487
TRANS-RXN-241 RXN0-16
TRANS-RXN-242 HOMSUCTRAN-RXN
TRANS-RXN-242 HOMOSERKIN-RXN
TRANS-RXN-244 RXN0-6980
TRANS-RXN-244 THREODEHYD-RXN
TRANS-RXN-244 THREDEHYD-RXN
TRANS-RXN-244 THREONINE--TRNA-LIGASE-RXN
TRANS-RXN-244 TRANS-RXN-72
TRANS-RXN-244 THREONINE-ALDOLASE-RXN
RXN-11496 ACSERLY-RXN
RXN-11496 NADH-DEHYDROG-A-RXN
RXN-11496 ACECOATRANS-RXN
RXN-11496 ACETOACETYL-COA-TRANSFER-RXN
RXN-11496 SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
RXN-11496 RXN0-5268
RXN-11496 RXN0-1981
RXN-11496 RXN0-5258
RXN-11496 RXN0-6369
RXN-11496 TRANS-RXN0-237
RXN-11496 RXN0-5266
RXN-11496 RXN0-5414
RXN-11496 CITC-RXN
RXN-11496 RXN-12352
RXN-11496 ACETATEKIN-RXN
RXN-11496 ACETATE--COA-LIGASE-RXN
TREHALOSE6PSYN-RXN TREHALOSEPHOSPHA-RXN
TREHALOSE6PSYN-RXN UDPKIN-RXN
TREHALOSE6PSYN-RXN NACGLCTRANS-RXN
TREHALOSE6PSYN-RXN UDPMANACATRANS-RXN
TREHALOSE6PSYN-RXN RXN0-5413
TREHALOSE6PSYN-RXN RXN0-6466
TREHALOSE6PSYN-RXN RXN0-5210
TREHALOSE6PSYN-RXN 2.7.4.22-RXN
TREHALOSE6PSYN-RXN TRE6PHYDRO-RXN
TREHALOSE6PSYN-RXN UDPREDUCT-RXN
TREHALOSE6PSYN-RXN 2.4.1.56-RXN
TREHALOSE6PSYN-RXN RXN-12197
TREHALOSE6PSYN-RXN RXN0-722
TREHALOSE6PSYN-RXN 2.4.1.58-RXN
H2PTEROATESYNTH-RXN DIHYDROFOLATESYNTH-RXN
CPM-KDOSYNTH-RXN RXN0-5128
CPM-KDOSYNTH-RXN KDOTRANS2-RXN
CPM-KDOSYNTH-RXN KDOTRANS-RXN
MCPTAR-RXN TRANS-RXN0-459
MCPTAR-RXN CHERTARM-RXN
TRANS-RXN-94A RXN0-294
TRANS-RXN-94A ALPHAGALACTOSID-RXN
TRANS-RXN-94A RXN0-283
TRANS-RXN-94A TRANS-RXN-126B
TRANS-RXN-94A TRANS-RXN-126A
TRANS-RXN-94A TRANS-RXN-94B
TRANS-RXN-94A TRANS-RXN0-235
TRANS-RXN-94A TRANS-RXN-125
TRANS-RXN-94A TRANS-RXN-126
TRANS-RXN-94A TRANS-RXN-130
TRANS-RXN-94A TRANS-RXN-118
TRANS-RXN-94A TRANS-RXN-101
TRANS-RXN-94A TRANS-RXN-129
TRANS-RXN-94A TRANS-RXN-94
TRANS-RXN-94A TRANS-RXN-117
TRANS-RXN-94A RXN0-4083
TRANS-RXN-94A RXN0-2561
TRANS-RXN-94A TRANS-RXN-122
TRANS-RXN-94B ALPHAGALACTOSID-RXN
TRANS-RXN-94B RXN0-294
TRANS-RXN-94B TRANS-RXN-94
TRANS-RXN-94B TRANS-RXN-94A
SAICARSYN-RXN AICARSYN-RXN
AMYLOMALT-RXN RXN0-5183
AMYLOMALT-RXN RXN0-5182
AMYLOMALT-RXN MALTACETYLTRAN-RXN
AMYLOMALT-RXN ALDOSE-1-EPIMERASE-RXN
AMYLOMALT-RXN RXN-12402
AMYLOMALT-RXN R166-RXN
AMYLOMALT-RXN GLUCDEHYDROG-RXN
AMYLOMALT-RXN 3.2.1.21-RXN
AMYLOMALT-RXN ABC-16-RXN
AMYLOMALT-RXN GLUCOKIN-RXN
AMYLOMALT-RXN MALTODEG-RXN
AMYLOMALT-RXN RXN0-1741
AMYLOMALT-RXN RXN0-6372
AMYLOMALT-RXN RXN0-6373
AMYLOMALT-RXN TRANS-RXN-157
AMYLOMALT-RXN TRANS-RXN0-504
AMYLOMALT-RXN TRANS-RXN0-503
AMYLOMALT-RXN RXN0-6418
TRANS-RXN-62B LTAA-RXN
TRANS-RXN-62B GLYCINE--TRNA-LIGASE-RXN
TRANS-RXN-62B AKBLIG-RXN
TRANS-RXN-62B RXN0-6982
TRANS-RXN-62B RXN0-6983
TRANS-RXN-62B RXN0-6974
TRANS-RXN-62B GCVMULTI-RXN
TRANS-RXN-62B RXN0-6984
TRANS-RXN-62B RXN0-6987
TRANS-RXN-62B RXN0-6988
TRANS-RXN-62B RXN0-5234
TRANS-RXN-62B RXN0-1641
TRANS-RXN-62B RXN0-6977
TRANS-RXN-62B GLYOHMETRANS-RXN
TRANS-RXN-62B PHENYLSERINE-ALDOLASE-RXN
TRANS-RXN-62B RXN0-6470
TRANS-RXN-62B RXN-6622
TRANS-RXN-62B RXN0-6563
TRANS-RXN-62B GLUTATHIONE-SYN-RXN
TRANS-RXN-62B GLYRIBONUCSYN-RXN
TRANS-RXN-62B GCVP-RXN
ATPPHOSPHORIBOSYLTRANS-RXN PRPPSYN-RXN
ATPPHOSPHORIBOSYLTRANS-RXN XANPRIBOSYLTRAN-RXN
ATPPHOSPHORIBOSYLTRANS-RXN URACIL-PRIBOSYLTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN NICOTINATEPRIBOSYLTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN PRTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN HYPOXANPRIBOSYLTRAN-RXN
ATPPHOSPHORIBOSYLTRANS-RXN OROPRIBTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN PRPPAMIDOTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN QUINOPRIBOTRANS-RXN
ATPPHOSPHORIBOSYLTRANS-RXN GUANPRIBOSYLTRAN-RXN
ATPPHOSPHORIBOSYLTRANS-RXN HISTPRATPHYD-RXN
TRANS-RXN-62A ALARACECAT-RXN
TRANS-RXN-62A RXN0-5227
TRANS-RXN-62A RXN0-5240
TRANS-RXN-62A 3.4.13.22-RXN
TRANS-RXN-62A DALADEHYDROG-RXN
TRANS-RXN-62A RXN0-6684
TRANS-RXN-62A 3.4.16.4-RXN
TRANS-RXN-62A DALADALALIG-RXN
ABC-8-RXN TRANS-RXN0-288
ABC-8-RXN 3.4.15.5-RXN
ABC-8-RXN 3.4.11.4-RXN
ABC-8-RXN 3.4.13.18-RXN
RXN-11478 RXN-11479
RXN-11479 MYRISTOYLACYLTRAN-RXN
RXN-11479 RXN0-5513
RXN-11479 MYRPALMTRAN-RXN
RXN-11479 LAUROYLACYLTRAN-RXN
RXN-11479 RXN-5741
RXN-11479 RXN0-947
RXN-11479 HOLO-ACP-SYNTH-RXN
RXN-11479 PALMITOTRANS-RXN
RXN-11479 RXN-11480
RXN-11479 RXN0-1138
RXN-11479 RXN0-1137
RXN-11479 UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
RXN-11479 ACYLGPEACYLTRANS-RXN
RXN-11479 RXN0-1130
RXN-11479 ACP-S-ACETYLTRANSFER-RXN
RXN-11479 RXN-9549
RXN-11479 UDPNACETYLGLUCOSAMACYLTRANS-RXN
RXN-11479 3.1.4.14-RXN
RXN-11479 MALONYL-COA-ACP-TRANSACYL-RXN
URIDINE-NUCLEOSIDASE-RXN URACIL-PRIBOSYLTRANS-RXN
URIDINE-NUCLEOSIDASE-RXN URPHOS-RXN
URIDINE-NUCLEOSIDASE-RXN R148-RXN
URIDINE-NUCLEOSIDASE-RXN RXN0-5398
URIDINE-NUCLEOSIDASE-RXN URA-PHOSPH-RXN
URIDINE-NUCLEOSIDASE-RXN RXN0-6444
URIDINE-NUCLEOSIDASE-RXN TRANS-RXN-132
URIDINE-NUCLEOSIDASE-RXN RXN0-361
URIDINE-NUCLEOSIDASE-RXN RIBOKIN-RXN
URIDINE-NUCLEOSIDASE-RXN RXN0-5305
URIDINE-NUCLEOSIDASE-RXN INOSINE-NUCLEOSIDASE-RXN
URIDINE-NUCLEOSIDASE-RXN DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
URIDINE-NUCLEOSIDASE-RXN RXN0-5332
URIDINE-NUCLEOSIDASE-RXN RXN0-2584
RXN0-4281 RXN0-5213
RXN0-4281 RXN-8632
1.1.1.271-RXN RXN0-5377
R247-RXN TRANS-RXN0-239
R247-RXN RXN0-5198
R247-RXN 1.7.2.3-RXN
R247-RXN RXN-12827
R247-RXN RXN0-5242
R247-RXN RXN0-6377
R247-RXN TRANS-RXN-26
R247-RXN RXN-12876
R247-RXN RXN0-6369
R247-RXN D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
R247-RXN RXN0-6370
R247-RXN NITRIC-OXIDE-REDUCTASE-RXN
R247-RXN TRANS-RXN-137
R247-RXN RXN0-3501
R247-RXN RXN0-6954
RXN-982 PRODISULFREDUCT-A-RXN
RXN-982 GLUTAREDOXIN-RXN
RXN-982 RXN0-5456
RXN-982 TRANS-RXN-7
NADH-DEHYDROGENASE-QUINONE-RXN RXN0-3441
NAG6PDEACET-RXN GLUCOSAMINE-6-P-DEAMIN-RXN
NAG6PDEACET-RXN 5.4.2.10-RXN
NAG6PDEACET-RXN ACSERLY-RXN
NAG6PDEACET-RXN ACECOATRANS-RXN
NAG6PDEACET-RXN CITC-RXN
NAG6PDEACET-RXN ACETOACETYL-COA-TRANSFER-RXN
NAG6PDEACET-RXN ACETATEKIN-RXN
NAG6PDEACET-RXN RXN0-1981
NAG6PDEACET-RXN ACETATE--COA-LIGASE-RXN
NAG6PDEACET-RXN RXN0-5414
RXN-11475 RXN-11474
RXN-11474 RXN-11476
DADPKIN-RXN RXN0-384
PEPSYNTH-RXN RXN0-2461
PEPSYNTH-RXN RXN0-6717
PEPSYNTH-RXN RXN0-17
PEPSYNTH-RXN TRANS-RXN-158A
PEPSYNTH-RXN TRANS-RXN-155
PEPSYNTH-RXN TRANS-RXN-153
PEPSYNTH-RXN TRANS-RXN-158
PEPSYNTH-RXN TRANS-RXN-157
PEPSYNTH-RXN TRANS-RXN-156
PEPSYNTH-RXN 2.5.1.19-RXN
PEPSYNTH-RXN KDO-8PSYNTH-RXN
PEPSYNTH-RXN RXN0-289
PEPSYNTH-RXN TRANS-RXN-155B
PEPSYNTH-RXN TRANS-RXN-153A
PEPSYNTH-RXN TRANS-RXN0-446
PEPSYNTH-RXN TRANS-RXN-161
PEPSYNTH-RXN TRANS-RXN-165
PEPSYNTH-RXN TRANS-RXN-167A
PEPSYNTH-RXN PEPCARBOX-RXN
PEPSYNTH-RXN TRANS-RXN-168
PEPSYNTH-RXN 2.7.1.121-RXN
PEPSYNTH-RXN TRANS-RXN-167
PEPSYNTH-RXN TRANS-RXN-169
PEPSYNTH-RXN UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
PEPSYNTH-RXN DAHPSYN-RXN
PEPSYNTH-RXN 2PGADEHYDRAT-RXN
PEPSYNTH-RXN RXN0-2522
ARCB717-RXN RXN0-312
ARCB717-RXN ALTARCA-RXN
RXN-11477 RXN-11478
RXN-11476 RXN-11477
GALACTOKIN-RXN GALACTURIDYLYLTRANS-RXN
RXN0-3201 3.4.23.43-RXN
RXN0-3201 3.4.23.36-RXN
RXN0-3201 3.5.1.28-RXN
RXN0-3201 3.4.11.1-RXN
RXN0-3201 3.4.21.92-RXN
RXN0-3201 RXN0-5103
RXN0-3201 3.4.21.87-RXN
RXN0-3201 RXN0-3261
RXN0-3201 RXN0-5052
RXN0-3201 RXN0-5051
RXN0-3201 RXN0-5204
RXN0-3201 GAMMA-GLUTAMYLTRANSFERASE-RXN
RXN0-3201 3.4.24.70-RXN
RXN0-3201 3.4.21.53-RXN
RXN0-3201 3.4.24.55-RXN
RXN0-3201 3.4.21.102-RXN
RXN0-3201 ABC-22-RXN
RXN0-3201 3.4.21.83-RXN
RXN0-3201 3.4.11.9-RXN
RXN0-3201 3.4.15.5-RXN
RXN0-3201 RXN0-3221
ASPDECARBOX-RXN RXN0-5201
ASPDECARBOX-RXN PANTOATE-BETA-ALANINE-LIG-RXN
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN 3-OXOACYL-ACP-REDUCT-RXN
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN ENOYL-ACP-REDUCT-NADH-RXN
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN ENOYL-ACP-REDUCT-NADPH-RXN
RXN-5741 MYRISTOYLACYLTRAN-RXN
RXN-5741 RXN0-5513
RXN-5741 MYRPALMTRAN-RXN
RXN-5741 LAUROYLACYLTRAN-RXN
RXN-5741 TRANS-RXN0-272
RXN-5741 RXN0-947
RXN-5741 HOLO-ACP-SYNTH-RXN
RXN-5741 PALMITOTRANS-RXN
RXN-5741 RXN0-1138
RXN-5741 RXN0-1137
RXN-5741 UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
RXN-5741 RXN-9527
RXN-5741 RXN0-5098
RXN-5741 ACYLGPEACYLTRANS-RXN
RXN-5741 RXN0-1130
RXN-5741 ACP-S-ACETYLTRANSFER-RXN
RXN-5741 RXN-9549
RXN-5741 UDPNACETYLGLUCOSAMACYLTRANS-RXN
RXN-5741 3.1.4.14-RXN
RXN-5741 MALONYL-COA-ACP-TRANSACYL-RXN
2.3.1.179-RXN MYRISTOYLACYLTRAN-RXN
2.3.1.179-RXN RXN0-5513
2.3.1.179-RXN MYRPALMTRAN-RXN
2.3.1.179-RXN LAUROYLACYLTRAN-RXN
2.3.1.179-RXN RXN-5741
2.3.1.179-RXN RXN0-947
2.3.1.179-RXN HOLO-ACP-SYNTH-RXN
2.3.1.179-RXN PALMITOTRANS-RXN
2.3.1.179-RXN RXN0-1138
2.3.1.179-RXN RXN0-1137
2.3.1.179-RXN UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
2.3.1.179-RXN ACYLGPEACYLTRANS-RXN
2.3.1.179-RXN RXN0-1130
2.3.1.179-RXN ACP-S-ACETYLTRANSFER-RXN
2.3.1.179-RXN RXN-9549
2.3.1.179-RXN UDPNACETYLGLUCOSAMACYLTRANS-RXN
2.3.1.179-RXN RXN-9556
2.3.1.179-RXN 3.1.4.14-RXN
2.3.1.179-RXN MALONYL-COA-ACP-TRANSACYL-RXN
PNP-RXN RXN0-1402
PNP-RXN RXN0-5199
PNP-RXN PPENTOMUT-RXN
PNP-RXN URPHOS-RXN
PNP-RXN ADENPHOSPHOR-RXN
PNP-RXN INOPHOSPHOR-RXN
PNP-RXN XANTHOSINEPHOSPHORY-RXN
2-DEHYDROPANTOATE-REDUCT-RXN PANTOATE-BETA-ALANINE-LIG-RXN
MHPELY-RXN LTAA-RXN
MHPELY-RXN RXN0-3962
MHPELY-RXN ALCOHOL-DEHYDROG-RXN
MHPELY-RXN RXN0-5234
MHPELY-RXN DEOXYRIBOSE-P-ALD-RXN
MHPELY-RXN RXN0-2022
MHPELY-RXN ACETALD-DEHYDROG-RXN
PHENDEHYD-RXN PHENYLACETATE--COA-LIGASE-RXN
R136-RXN RXN0-5186
R136-RXN R137-RXN
R136-RXN 1PFRUCTPHOSN-RXN
PHOQ-RXN PHOP-RXN
1.8.4.12-RXN RXN0-267
1.8.4.12-RXN RIBONUCLEOSIDE-DIP-REDUCTI-RXN
1.8.4.12-RXN 1.8.4.13-RXN
1.8.4.12-RXN RXN0-5468
1.8.4.12-RXN THIOREDOXIN-REDUCT-NADPH-RXN
1.8.4.12-RXN THIOREDOXIN-RXN
1.8.4.12-RXN GDPREDUCT-RXN
1.8.4.12-RXN ADPREDUCT-RXN
1.8.4.12-RXN CDPREDUCT-RXN
1.8.4.12-RXN UDPREDUCT-RXN
1.8.4.12-RXN RXN0-6385
1.8.4.12-RXN 1.8.4.8-RXN
1.8.4.12-RXN RXN0-6277
1.8.4.12-RXN RXN-8668
1.8.4.12-RXN 1.8.4.14-RXN
RXN0-4961 3.1.13.3-RXN
RXN0-4961 RXN0-4223
RXN0-4961 3.2.2.21-RXN
RXN0-4961 3.1.21.7-RXN
RXN0-4961 RXN0-6525
RXN0-4961 3.1.13.5-RXN
RXN0-4961 3.1.26.4-RXN
RXN0-4961 DNA-DIRECTED-DNA-POLYMERASE-RXN
RXN0-4961 3.6.1.19-RXN
RXN0-4961 3.1.21.3-RXN
RXN0-4961 3.1.11.1-RXN
RXN0-4961 3.1.11.2-RXN
RXN0-4961 DNA-LIGASE-NAD+-RXN
NQOR-RXN RXN-7968
NQOR-RXN RXN-7967
NQOR-RXN RXN0-6377
NQOR-RXN DIHYDROPICRED-RXN
NQOR-RXN RXN-12105
NQOR-RXN RXN-12106
NQOR-RXN 1.1.1.264-RXN
NQOR-RXN ISPH2-RXN
NQOR-RXN FMNREDUCT-RXN
NQOR-RXN GLUCONATE-5-DEHYDROGENASE-RXN
NQOR-RXN HOMOSERDEHYDROG-RXN
NQOR-RXN R621-RXN
NQOR-RXN FAD-RED-RXN
NQOR-RXN MALATE-DEHYDROGENASE-ACCEPTOR-RXN
NQOR-RXN RXN0-3381
NQOR-RXN RXN0-3922
NQOR-RXN PYRROLINECARBREDUCT-RXN
NQOR-RXN FMN-RED-RXN
NQOR-RXN RXN0-884
NQOR-RXN RXN-2962
NQOR-RXN RXN0-6722
NQOR-RXN GLYC3PDEHYDROGBIOSYN-RXN
NQOR-RXN TSA-REDUCT-RXN
NQOR-RXN R165-RXN
NQOR-RXN 6PGLUCONDEHYDROG-RXN
NQOR-RXN 1.5.1.34-RXN
NQOR-RXN RXN-12445
NQOR-RXN QOR-RXN
1.1.1.262-RXN RXN-8447
OHMETPYRKIN-RXN PYRIMSYN1-RXN
OHMETPYRKIN-RXN TRANS-RXN0-462
OHMETPYRKIN-RXN PYRIMSYN3-RXN
RXN-12611 THIKIN-RXN
RXN-12611 THI-P-KIN-RXN
RXN-12611 THI-P-SYN-RXN
INOSINE-NUCLEOSIDASE-RXN RXN0-284
INOSINE-NUCLEOSIDASE-RXN R148-RXN
INOSINE-NUCLEOSIDASE-RXN RXN-7682
INOSINE-NUCLEOSIDASE-RXN INOPHOSPHOR-RXN
INOSINE-NUCLEOSIDASE-RXN RXN0-18
INOSINE-NUCLEOSIDASE-RXN RXN0-361
INOSINE-NUCLEOSIDASE-RXN RIBOKIN-RXN
INOSINE-NUCLEOSIDASE-RXN INOSINEKIN-RXN
INOSINE-NUCLEOSIDASE-RXN HYPOXANPRIBOSYLTRAN-RXN
INOSINE-NUCLEOSIDASE-RXN TRANS-RXN-108G
INOSINE-NUCLEOSIDASE-RXN RXN0-5305
INOSINE-NUCLEOSIDASE-RXN DEOXYINOPHOSPHOR-RXN
PDXJ-RXN PNPOXI-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.1.13.3-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN RXN0-4223
NUCLEOSIDE-DIPHOSPHATASE-RXN RXN0-4961
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.1.26.4-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.6.1.19-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN RXN0-6525
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.1.13.5-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.1.11.1-RXN
NUCLEOSIDE-DIPHOSPHATASE-RXN 3.1.11.2-RXN
ABC-9-RXN RXN0-1684
ABC-9-RXN RXN0-2261
HEMN-RXN PROTOPORGENOXI-RXN
HEMN-RXN RXN0-6974
HEMN-RXN RNTRACTIV-RXN
HEMN-RXN RXN0-6985
HEMN-RXN PYRIMSYN1-RXN
HEMN-RXN RXN0-5063
HEMN-RXN HOMOCYSMETB12-RXN
HEMN-RXN RXN0-6721
HEMN-RXN R15-RXN
HEMN-RXN METHIONINE--TRNA-LIGASE-RXN
HEMN-RXN HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN
HEMN-RXN MMUM-RXN
HEMN-RXN RXN0-6259
HEMN-RXN RXN0-6550
HEMN-RXN RXN0-6948
HEMN-RXN RXN0-4522
3.4.11.1-RXN 3.4.23.43-RXN
3.4.11.1-RXN RXN0-3201
3.4.11.1-RXN 3.4.13.21-RXN
3.4.11.1-RXN 3.4.11.4-RXN
3.4.11.1-RXN 3.4.21.92-RXN
3.4.11.1-RXN RXN0-5052
3.4.11.1-RXN RXN0-5051
3.4.11.1-RXN R15-RXN
3.4.11.1-RXN RXN0-5204
3.4.11.1-RXN 3.4.21.53-RXN
3.4.11.1-RXN 3.4.24.55-RXN
3.4.11.1-RXN RXN0-3221
3.4.11.1-RXN 3.4.13.18-RXN
3.4.11.1-RXN RXN0-3241
3.4.11.1-RXN 3.5.1.28-RXN
3.4.11.1-RXN RXN0-5103
3.4.11.1-RXN 3.4.21.87-RXN
3.4.11.1-RXN RXN0-3261
